,gs21,gs22,eg11,eg12,eg13,eg14,yh71,oh72,bh73,gr11,gr12,sp13,ww14,gr15,se16,fd17,he61,gr62,he63,gr64,gg65,yc51,oc52,wh51,ug51,dg52,ig53,ug54,dg55,uh51,ug51.1,bg52,dg53,gz51,si52,wt53,wg54,wb61,gr62.1,wb31,ww32,so33,wr34,gz81,sp82,se83,re84,ww85,wb86,wo87,sp41,ww42,wb41,wb42,sp41.1,so42,so43,oc41,gh41,go41,wh41,dh42,ha91,fr9A,gz92,re93,we94,re95,ro96,he97,tu98,fr99,si41,gz42,gz43,gz44,gz41,gz42.1,gz41.1,gz42.2,gz41.2,gz42.3,se41,se42,gr61,sp62,so63
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,11,2,0,0,0,0,0
2,51,59,0,1,29,0,0,0,0,27,18,44,29,50,82,57,0,0,0,3,0,0,0,0,0,1,0,9,0,0,0,0,0,92,63,0,0,2,3,3,0,0,1,5,24,0,0,1,1,0,13,82,16,20,2,5,3,0,2,1,0,3,20,9,0,53,0,33,0,0,0,4,12,32,0,8,76,56,23,22,42,38,327,385,3,14,2
3,25,2,0,1,1,1,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,30,1,2,2,0,2,1,0,1,0,0,4,21,1,6,77,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,42,34,3,4,7
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,16,10,4,2,0,1,4,45,0,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,5
7,1,2,3,1,2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,9,34,0,0,0,0,2,0,0,6,0,0,0,36,6,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,2,0,0,6,2,0,1,13,0,23,0,1,7,4,0,0,0,0,2,2,0,4,2,4,3,1,9,4,1,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
9,0,0,0,0,0,0,0,0,0,1,6,0,0,8,5,0,0,7,0,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,11,22,7,9,0,2,1,1,3,2,4,2,3,1,1,1,1,1,0,2,1,0,1,0,0,0,0,0,2,7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,3,1,0
10,0,0,18,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,1,0,3,4,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,8,1,0,1,0,5,1,0,0,0,0,4,1,0,0,0,1,0,0,0
11,40,4,5,4,1,2,0,0,0,5,8,4,5,50,169,1,0,2,0,117,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140,70,5,2,2,3,358,27,102,147,9,61,31,12,126,14,17,24,13,8,0,31,27,1,9,0,0,0,0,0,2,0,0,0,0,102,345,7,16,37,57,201,43,64,184,889,524,14,9,11
12,4,0,0,0,0,0,0,0,3,0,1,28,71,3,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,67,1,1,0,27,5,0,2,6,6,21,53,155,201,28,53,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,1,0,0,0,0,0,4,20,30,66,13,49
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
14,356,626,0,0,0,0,0,0,0,16,1,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,200,0,0,0,0,0,0,0,0,0,2,1,6,11,1,1188,264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,15,54,0,5,935,679,13,58,2,0,0
15,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,2,9,1,0,0,0,0,0,0,39,6,47,16,11,17,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,87,1,3,0,1,0,0,1,3,0,83,30,126,128,0,72,117,1,5,3,1,0,24,0,0,211,34,0,0,1,0,6,3,21,5,2,30,21,8,33,88,52,39,119,12,0,13
